#META|ref=04/2026|gerado=2026-07-21|fonte=SUDECAP
01.12.03|VISTORIA CAUTELAR - 201M2 < ÁREA CONSTRUÍDA <= 500M2|UN
01.12.04|VISTORIA CAUTELAR - 501M2 < ÁREA CONSTRUÍDA <= 2000M2|UN
01.12.05|VISTORIA CAUTELAR - 2001M2 < ÁREA CONSTRUÍDA <= 7000M2|UN
01.12.06|VISTORIA CAUTELAR - ÁREA CONSTRUÍDA > 7001M2|UN
01.13.01|BAIA SIMPLES PARA RESÍDUOS DA CONSTRUÇÃO CIVIL|UN
01.13.02|BAIA DUPLA PARA RESÍDUOS DA CONSTRUÇÃO CIVIL|UN
01.13.03|PLACA IDENTIFCAÇÃO RESÍDUOS-PGRCC, CONFORME RESOLUÇÃO CONAMA-RDC Nº 275/01,EM LONA (BANNER), (30X30)CM|UN
01.13.04|FORNECIMENTO DE BIG BAG PARA RESÍDUOS COMUNS - CAPACIDADE APROXIMADA 1M3, PADRÃO CLUB FARM OU EQUIVALENTE|UN
01.13.05|FORNECIMENTO LIXEIRA PLÁSTICA COM TAMPA VAI-VEM - 100 LITROS, PADRÃO Q100 WEBPLÁSTICO OU EQUIVALENTE|UN
01.13.06|FORNECIMENTO DE LONA REFORÇADA DE POLIETILENO PARA COBERTURA DE CAÇAMBA (4Mx4M), 600 MICRA|UN
01.13.07|FORNECIMENTO DE BOMBONA BOCA LARGA PARA RESÍDUOS CLASSE B - 100 LITROS|UN
01.14.01|PORTA EM COMPENSADO RESINADO 10MM 80X210CM|UN
01.14.02|CONJUNTO MESA (130X60CM) E 2 BANCOS (130X40CM) EM MADEIRITE|CJ
01.14.03|BANCO (130X40CM) EM MADEIRITE, PARA VESTIARIO|UN
01.14.04|MAPOTECA PARA PROJETO 1,40X1,10X1,40M E PEÇA 8X8 CM|UN
01.14.05|JANELA DE CORRER DE FERRO 1x1/8", AREA > 1,0 M2|UN
01.14.06|BANCO (200 X 35CM) EM MADEIRITE, PARA VESTIÁRIO|UN
01.14.32|INSTALAÇAO HIDROSSANITÁRIA - LAVABO|UN
01.14.33|INSTALAÇAO ELÉTRICA - LAVABO|UN
